number,Chinese entity name,entity binomial scientific name,Chinese sym,English sym,Chinese relation,English relation
6150,番茄变形果,Cladosporium fulvum,心室内凹陷,Intraventricular concavity,存在症状,ManifestAs
6151,番茄变形果,Cladosporium fulvum,呈椭圆状,Oval,存在症状,ManifestAs
6152,番茄24—D药害,Phytophthora infestans,叶缘扭曲畸形,Distorted leaf margins,存在症状,ManifestAs
6153,番茄24—D药害,Phytophthora infestans,花朵变褐畸形,Flowers turn brown and become deformed,存在症状,ManifestAs
6154,番茄连作障碍,Fusarium oxysporum,幼苗枯萎,Seedlings wither,存在症状,ManifestAs
6155,辣椒绵腐病,Pythium aphanidermatum,初呈暗褐色病斑,Initially dark brown spots,存在症状,ManifestAs
6156,辣椒绵腐病,Pythium aphanidermatum,白色绢丝状的,White silky,存在症状,ManifestAs
6157,辣椒褐腐病,Phytophthora capsici,白色或灰白色的毛状物,White or grayish hairs,存在症状,ManifestAs
6158,辣椒褐腐病,Phytophthora capsici,变褐软腐,Browning and soft rot,存在症状,ManifestAs
6159,辣椒褐腐病,Phytophthora capsici,果梗呈灰白色或褐色,The fruit stem is grayish white or brown,存在症状,ManifestAs
6160,番茄生理性卷叶病,Tomato leaf curl virus,叶片呈筒状,The leaves are tube-shaped,存在症状,ManifestAs
6161,番茄芽枯病,Cladosporium fulvum,呈竖“一”字形或Y型,Vertical "I" or Y-shaped,存在症状,ManifestAs
6162,番茄低温障碍和冻害,Fusarium oxysporum,子叶上举,Cotyledon raised,存在症状,ManifestAs
6163,番茄低温障碍和冻害,Fusarium oxysporum,叶背向上反卷,The leaf back curls upward,存在症状,ManifestAs
6164,番茄低温障碍和冻害,Fusarium oxysporum,叶片萎蔫干枯,Leaves wilt and dry up,存在症状,ManifestAs
6165,番茄低温障碍和冻害,Fusarium oxysporum,叶片暗绿无光,Leaves dark green,存在症状,ManifestAs
6166,番茄低温障碍和冻害,Fusarium oxysporum,低温落花或畸形果,Flower drop or deformed fruit due to low temperature,存在症状,ManifestAs
6167,番茄低温障碍和冻害,Fusarium oxysporum,茎叶干枯而死,The stems and leaves dry up and die,存在症状,ManifestAs
6168,番茄高温障碍,Heat stress,叶绿素褪色,Chlorophyll fading,存在症状,ManifestAs
6169,番茄高温障碍,Heat stress,叶缘呈漂白状,Bleached leaf margins,存在症状,ManifestAs
6170,番茄高温障碍,Heat stress,叶缘呈烧伤状,Burned leaf edges,存在症状,ManifestAs
6171,番茄高温障碍,Heat stress,永久萎蔫或干枯,Permanently wilting or drying up,存在症状,ManifestAs
6172,番茄高温障碍,Heat stress,花粉粒不孕,Pollen grains are sterile,存在症状,ManifestAs
6173,番茄缺素症,Tomato deficiency syndrome,呈纺锤形,Spindle-shaped,存在症状,ManifestAs
6174,番茄缺素症,Tomato deficiency syndrome,老叶呈黄绿色,Old leaves are yellow-green,存在症状,ManifestAs
6175,番茄缺素症,Tomato deficiency syndrome,全株呈浅绿色,The whole plant is light green,存在症状,ManifestAs
6176,番茄缺素症,Tomato deficiency syndrome,叶片狭小而薄,Small and thin leaves,存在症状,ManifestAs
6177,番茄缺素症,Tomato deficiency syndrome,花序外露,Inflorescence exposed,存在症状,ManifestAs
6178,番茄缺素症,Tomato deficiency syndrome,叶脉由黄绿色变为深紫色,The veins of the leaves change from yellow-green to dark purple,存在症状,ManifestAs
6179,番茄缺素症,Tomato deficiency syndrome,茎秆变硬,The stem becomes hard,存在症状,ManifestAs
6180,番茄缺素症,Tomato deficiency syndrome,呈深紫色,Dark purple,存在症状,ManifestAs
6181,番茄缺素症,Tomato deficiency syndrome,花芽黄色,Flower buds yellow,存在症状,ManifestAs
6182,番茄缺素症,Tomato deficiency syndrome,果实变小,Fruits become smaller,存在症状,ManifestAs
6183,番茄缺素症,Tomato deficiency syndrome,叶背呈紫红色,Purple-red leaf back,存在症状,ManifestAs
6184,番茄缺素症,Tomato deficiency syndrome,叶脉逐,Leaf veins,存在症状,ManifestAs
6185,番茄缺素症,Tomato deficiency syndrome,小叶呈灼烧状,The leaflets are burning,存在症状,ManifestAs
6186,番茄缺素症,Tomato deficiency syndrome,叶缘卷曲,Curled leaf edges,存在症状,ManifestAs
6187,番茄缺素症,Tomato deficiency syndrome,脉间失绿,Intervein chlorosis,存在症状,ManifestAs
6188,番茄缺素症,Tomato deficiency syndrome,边缘为褐色的小枯斑,Small brown spots on the edges,存在症状,ManifestAs
6189,番茄缺素症,Tomato deficiency syndrome,茎木质化,Stem lignification,存在症状,ManifestAs
6190,番茄缺素症,Tomato deficiency syndrome,果形不正,Irregular fruit shape,存在症状,ManifestAs
6191,番茄缺素症,Tomato deficiency syndrome,幼叶顶端发黄,Yellowing of young leaves,存在症状,ManifestAs
6192,番茄缺素症,Tomato deficiency syndrome,植株瘦弱,Weak plants,存在症状,ManifestAs
6193,番茄缺素症,Tomato deficiency syndrome,顶芽死亡,Terminal bud death,存在症状,ManifestAs
6194,番茄缺素症,Tomato deficiency syndrome,叶片脉间黄化,Interveinal yellowing of leaves,存在症状,ManifestAs
6195,番茄缺素症,Tomato deficiency syndrome,叶柄和茎变红,Petioles and stems turn red,存在症状,ManifestAs
6196,番茄缺素症,Tomato deficiency syndrome,节间缩短,Shortened internodes,存在症状,ManifestAs
6197,番茄缺素症,Tomato deficiency syndrome,叶片变小,The leaves become smaller,存在症状,ManifestAs
6198,番茄缺素症,Tomato deficiency syndrome,植株呈浅绿色或黄绿色,The plant is light green or yellowish green,存在症状,ManifestAs
6199,番茄缺素症,Tomato deficiency syndrome,小叶失绿呈黄色或桔红色,The leaflets lose their green color and become yellow or orange,存在症状,ManifestAs
6200,番茄缺素症,Tomato deficiency syndrome,小叶叶脉间失绿,Interveinal chlorosis of leaflets,存在症状,ManifestAs
6201,番茄缺素症,Tomato deficiency syndrome,叶片细小,Small leaves,存在症状,ManifestAs
6202,番茄缺素症,Tomato deficiency syndrome,向内卷曲,Curl inwards,存在症状,ManifestAs
6203,番茄缺素症,Tomato deficiency syndrome,叶片脱落,Leaf shedding,存在症状,ManifestAs
6204,番茄缺素症,Tomato deficiency syndrome,果实畸形,Fruit deformity,存在症状,ManifestAs
6205,番茄缺素症,Tomato deficiency syndrome,褐色侵蚀斑,Brown erosion spots,存在症状,ManifestAs
6206,番茄缺素症,Tomato deficiency syndrome,叶片,blade,存在症状,ManifestAs
6207,番茄缺素症,Tomato deficiency syndrome,主脉间叶肉变黄,Yellowing of the mesophyll between the main veins,存在症状,ManifestAs
6208,番茄缺素症,Tomato deficiency syndrome,呈黄斑状,Yellow spot,存在症状,ManifestAs
6209,番茄缺素症,Tomato deficiency syndrome,叶脉仍保持绿色,The veins remain green,存在症状,ManifestAs
6210,番茄缺素症,Tomato deficiency syndrome,植株矮化,Plant dwarfing,存在症状,ManifestAs
6211,番茄缺素症,Tomato deficiency syndrome,不规则的皱缩褐色斑点,"Irregular, wrinkled brown spots",存在症状,ManifestAs
6212,番茄缺素症,Tomato deficiency syndrome,老叶先褪绿,Old leaves turn green first,存在症状,ManifestAs
6213,番茄缺素症,Tomato deficiency syndrome,叶肉呈黄色斑状,Yellow spots on the leaves,存在症状,ManifestAs
6214,番茄缺素症,Tomato deficiency syndrome,叶边向上卷,Leaf edges curl upward,存在症状,ManifestAs
6215,番茄缺素症,Tomato deficiency syndrome,叶尖萎焦,Leaf tip scorch,存在症状,ManifestAs
6216,番茄肥害,Solanum lycopersicum,叶片便出,Leaves come out,存在症状,ManifestAs
6217,番茄肥害,Solanum lycopersicum,现明显叶肉组织崩,There is obvious disintegration of mesophyll tissue,存在症状,ManifestAs
6218,番茄肥害,Solanum lycopersicum,块状褐色伤斑,Brown patches,存在症状,ManifestAs
6219,番茄肥害,Solanum lycopersicum,根部变褐,Roots turning brown,存在症状,ManifestAs
6220,番茄肥害,Solanum lycopersicum,叶片变黄,Yellowing of leaves,存在症状,ManifestAs
6221,番茄茶色果和绿背果,Cladosporium fulvum,褐色或污茶褐色,Brown or dirty brown,存在症状,ManifestAs
6222,番茄茶色果和绿背果,Cladosporium fulvum,果实发污,Fruit stains,存在症状,ManifestAs
6223,番茄茶色果和绿背果,Cladosporium fulvum,粉色果变为粉红色,Pink fruit turns pink,存在症状,ManifestAs
6224,番茄茶色果和绿背果,Cladosporium fulvum,绿色斑块或绿色区,Green patches or areas,存在症状,ManifestAs
6225,番茄细菌性褐斑病,Pseudomonas syringae,呈水渍状小点,Small water-stained spots,存在症状,ManifestAs
6226,番茄细菌性褐斑病,Pseudomonas syringae,不规则斑点,Irregular spots,存在症状,ManifestAs
6227,番茄细菌性褐斑病,Pseudomonas syringae,深褐色至黑色,Dark brown to black,存在症状,ManifestAs
6228,番茄细菌性褐斑病,Pseudomonas syringae,有或无黄色晕,With or without yellow halo,存在症状,ManifestAs
6229,番茄细菌性褐斑病,Pseudomonas syringae,稍隆起的小斑点,Slightly raised spots,存在症状,ManifestAs
6230,番茄细菌性褐斑病,Pseudomonas syringae,萼片干枯,Sepals dry up,存在症状,ManifestAs
6231,番茄细菌性褐斑病,Pseudomonas syringae,米粒状大小的水浸状斑点,Water-soaked spots the size of rice grains,存在症状,ManifestAs
6232,番茄细菌性褐斑病,Pseudomonas syringae,不规则形,Irregular,存在症状,ManifestAs
6233,番茄细菌性褐斑病,Pseudomonas syringae,白色菌脓,White pus,存在症状,ManifestAs
6234,番茄细菌性褐斑病,Pseudomonas syringae,木质部不变褐,No browning of the wood,存在症状,ManifestAs
6235,辣椒斑枯病,Septoria lycopersici,白色至浅灰黄色圆形病斑,White to light grayish yellow circular lesions,存在症状,ManifestAs
6236,辣椒白星病,Mycosphaerella capsici,圆形或近圆形,Round or nearly round,存在症状,ManifestAs
6237,辣椒白星病,Mycosphaerella capsici,边缘呈深褐色小斑点,Dark brown spots on the edges,存在症状,ManifestAs
6238,辣椒白星病,Mycosphaerella capsici,起中央白色或灰,White or gray in the center,存在症状,ManifestAs
6239,辣椒白星病,Mycosphaerella capsici,大量落叶,A lot of fallen leaves,存在症状,ManifestAs
6240,辣椒疫病,Phytophthora capsici,不规则暗绿色病斑,Irregular dark green spots,存在症状,ManifestAs
6241,辣椒疫病,Phytophthora capsici,水渍状,Water stain,存在症状,ManifestAs
6242,辣椒疫病,Phytophthora capsici,边缘为黄绿色,Yellow-green edges,存在症状,ManifestAs
6243,辣椒疫病,Phytophthora capsici,叶片腐烂,Leaf rot,存在症状,ManifestAs
6244,辣椒疫病,Phytophthora capsici,暗绿色病斑,Dark green spots,存在症状,ManifestAs
6245,辣椒疫病,Phytophthora capsici,暗褐色或黑褐色条斑,Dark brown or dark brown stripes,存在症状,ManifestAs
6246,辣椒疫病,Phytophthora capsici,病斑呈暗绿色水渍状软腐,"The lesions are dark green and water-soaked, soft rot",存在症状,ManifestAs
6247,辣椒疫病,Phytophthora capsici,白色霉层,White mold layer,存在症状,ManifestAs
6248,辣椒疫病,Phytophthora capsici,暗褐色僵果,Dark brown fruit,存在症状,ManifestAs
6249,辣椒早疫病,Alternaria solani,圆形或不规则病斑,Round or irregular lesions,存在症状,ManifestAs
6250,辣椒早疫病,Alternaria solani,病斑褐色至黑褐色,Lesions brown to dark brown,存在症状,ManifestAs
6251,辣椒早疫病,Alternaria solani,浅绿色或黄色晕环,Light green or yellow halo,存在症状,ManifestAs
6252,辣椒早疫病,Alternaria solani,突起的同心轮纹,Raised concentric rings,存在症状,ManifestAs
6253,辣椒早疫病,Alternaria solani,灰黑色霉状物,Gray-black mold,存在症状,ManifestAs
6254,辣椒早疫病,Alternaria solani,不规则形大斑,Irregular large spots,存在症状,ManifestAs
6255,辣椒早疫病,Alternaria solani,叶片早枯,Early leaf withering,存在症状,ManifestAs
6256,辣椒早疫病,Alternaria solani,叶柄病斑呈椭圆形,The petiole lesions are oval,存在症状,ManifestAs
6257,辣椒早疫病,Alternaria solani,暗褐色,Dark brown,存在症状,ManifestAs
6258,辣椒褐斑病,Cercospora capsici,圆形或近圆形,Round or nearly round,存在症状,ManifestAs
6259,辣椒褐斑病,Cercospora capsici,灰白色的小点,Grayish white dots,存在症状,ManifestAs
6260,辣椒褐斑病,Cercospora capsici,四周黑褐色,Dark brown all around,存在症状,ManifestAs
6261,辣椒褐斑病,Cercospora capsici,病叶变黄脱落,Diseased leaves turn yellow and fall off,存在症状,ManifestAs
6262,辣椒灰霉病,Botrytis cinerea,半圆形至近圆形淡揭色轮纹斑,Semicircular to nearly circular light-colored ring spots,存在症状,ManifestAs
6263,辣椒灰霉病,Botrytis cinerea,灰色霉状物,Gray mold,存在症状,ManifestAs
6264,辣椒灰霉病,Botrytis cinerea,叶片腐烂,Leaf rot,存在症状,ManifestAs
6265,辣椒灰霉病,Botrytis cinerea,水浸状病斑,Water-soaked lesions,存在症状,ManifestAs
6266,辣椒灰霉病,Botrytis cinerea,椭图形或近圆形,Elliptical or nearly circular,存在症状,ManifestAs
6267,辣椒灰霉病,Botrytis cinerea,浅黄色轮纹斑,Light yellow ring pattern,存在症状,ManifestAs
6268,辣椒灰霉病,Botrytis cinerea,密生灰色霉层,Dense gray mold layer,存在症状,ManifestAs
6269,辣椒灰霉病,Botrytis cinerea,灰白色霉状物,Grayish white mold,存在症状,ManifestAs
6270,辣椒灰霉病,Botrytis cinerea,花瓣呈褐色,Brown petals,存在症状,ManifestAs
6271,辣椒灰霉病,Botrytis cinerea,水浸状,Waterlogged,存在症状,ManifestAs
6272,辣椒灰霉病,Botrytis cinerea,灰色霉层,Gray mold layer,存在症状,ManifestAs
6273,辣椒灰霉病,Botrytis cinerea,水浸状褐色病斑,Water-soaked brown spots,存在症状,ManifestAs
6274,辣椒灰霉病,Botrytis cinerea,凹陷腐烂,Sag rot,存在症状,ManifestAs
6275,辣椒灰霉病,Botrytis cinerea,不规则轮状灰色霉层,Irregular grey mold,存在症状,ManifestAs
6276,辣椒菌核病,Sclerotinia sclerotiorum,表皮呈灰,Grey skin,存在症状,ManifestAs
6277,辣椒菌核病,Sclerotinia sclerotiorum,叶片青萎,Leaf wilt,存在症状,ManifestAs
6278,辣椒菌核病,Sclerotinia sclerotiorum,呈水渍状湿腐,Water-soaked wet rot,存在症状,ManifestAs
6279,辣椒菌核病,Sclerotinia sclerotiorum,白色菌丝团,White mycelium mass,存在症状,ManifestAs
6280,辣椒菌核病,Sclerotinia sclerotiorum,呈水渍状病斑,Water-soaked spots,存在症状,ManifestAs
6281,辣椒菌核病,Sclerotinia sclerotiorum,病斑变浅褐色,The lesions turn light brown,存在症状,ManifestAs
6282,辣椒菌核病,Sclerotinia sclerotiorum,病部呈灰白色,The diseased part is grayish white,存在症状,ManifestAs
6283,辣椒炭疽病,Colletotrichum capsici,病斑近圆形,Nearly circular lesions,存在症状,ManifestAs
6284,辣椒炭疽病,Colletotrichum capsici,中心凹陷,Center depression,存在症状,ManifestAs
6285,辣椒炭疽病,Colletotrichum capsici,轮状排列的小黑点,Small black dots arranged in a wheel,存在症状,ManifestAs
6286,辣椒炭疽病,Colletotrichum capsici,水渍状的长圆形或不规则形,Water-soaked oblong or irregular shape,存在症状,ManifestAs
6287,辣椒炭疽病,Colletotrichum capsici,稍隆起的同心环纹斑,Slightly raised concentric rings,存在症状,ManifestAs
6288,辣椒炭疽病,Colletotrichum capsici,湿润性的变色圈,Moisture color change circle,存在症状,ManifestAs
6289,辣椒炭疽病,Colletotrichum capsici,呈褪绿水渍状斑点,Chlorotic water-soaked spots,存在症状,ManifestAs
6290,辣椒炭疽病,Colletotrichum capsici,稍呈圆形斑,Slightly round spots,存在症状,ManifestAs
6291,辣椒炭疽病,Colletotrichum capsici,褐色病斑,Brown spots,存在症状,ManifestAs
6292,辣椒炭疽病,Colletotrichum capsici,不规则形,Irregular,存在症状,ManifestAs
6293,辣椒炭疽病,Colletotrichum capsici,病斑圆形,Circular lesion,存在症状,ManifestAs
6294,辣椒炭疽病,Colletotrichum capsici,黄褐色,tan,存在症状,ManifestAs
6295,辣椒炭疽病,Colletotrichum capsici,水渍状,Water stain,存在症状,ManifestAs
6296,辣椒炭疽病,Colletotrichum capsici,橙红色小,Orange red small,存在症状,ManifestAs
6297,辣椒炭疽病,Colletotrichum capsici,淡红色黏质物,Light red sticky substance,存在症状,ManifestAs
6298,辣椒黑斑病,Alternaria solani,病斑为淡褐色,The lesions are light brown,存在症状,ManifestAs
6299,辣椒黑斑病,Alternaria solani,不规则形,Irregular,存在症状,ManifestAs
6300,辣椒黑斑病,Alternaria solani,病斑有黑色,The lesions are black,存在症状,ManifestAs
6301,辣椒黄化条斑病毒病,Lycopersicon esculentum virus 2,褪绿或花叶,Chlorotic or mosaic,存在症状,ManifestAs
6302,辣椒黄化条斑病毒病,Lycopersicon esculentum virus 2,不明显的轮纹,Not obvious wheel pattern,存在症状,ManifestAs
6303,辣椒黄化条斑病毒病,Lycopersicon esculentum virus 2,褐色条斑,Brown stripes,存在症状,ManifestAs
6304,辣椒黄化条斑病毒病,Lycopersicon esculentum virus 2,轻微花斑,Slightly spotted,存在症状,ManifestAs
6305,辣椒黄化条斑病毒病,Lycopersicon esculentum virus 2,不规则的褐色坏死斑,Irregular brown necrotic spots,存在症状,ManifestAs
6306,辣椒黄化条斑病毒病,Lycopersicon esculentum virus 2,系统坏死,System failure,存在症状,ManifestAs
6307,辣椒黄化条斑病毒病,Lycopersicon esculentum virus 2,系统花斑或严重变形,Systematic mottled or severely deformed,存在症状,ManifestAs
6308,辣椒苜蓿花叶病毒病,Cucumber mosaic virus,褪绿斑点和环斑,Chlorotic spots and ring spots,存在症状,ManifestAs
6309,辣椒苜蓿花叶病毒病,Cucumber mosaic virus,m暗,mDark,存在症状,ManifestAs
6310,辣椒苜蓿花叶病毒病,Cucumber mosaic virus,产生,produce,存在症状,ManifestAs
6311,辣椒苜蓿花叶病毒病,Cucumber mosaic virus,系统褪绿环斑或黄色,Systematic chlorotic ring spots or yellow,存在症状,ManifestAs
6312,辣椒苜蓿花叶病毒病,Cucumber mosaic virus,展心叶,Spread Heart Leaf,存在症状,ManifestAs
6313,辣椒苜蓿花叶病毒病,Cucumber mosaic virus,产生坏死,Necrosis,存在症状,ManifestAs
6314,辣椒苜蓿花叶病毒病,Cucumber mosaic virus,斑植株稍,Plants with spots,存在症状,ManifestAs
6315,辣椒丛枝病,Phytoplasma capsici,叶色发黄,Yellow leaves,存在症状,ManifestAs
6316,辣椒丛枝病,Phytoplasma capsici,叶窄长,Long narrow leaves,存在症状,ManifestAs
6317,辣椒丛枝病,Phytoplasma capsici,叶片扭曲呈疙瘩节状,The leaves are twisted and knotty,存在症状,ManifestAs
6318,辣椒丛枝病,Phytoplasma capsici,叶色变黄,Leaves turn yellow,存在症状,ManifestAs
6319,辣椒丛枝病,Phytoplasma capsici,叶肉变薄似缺素素症,Thinning of the leaf pulp resembles nutrient deficiency,存在症状,ManifestAs
6320,辣椒丛枝病,Phytoplasma capsici,叶片仅剩叶脉,Only veins left on leaves,存在症状,ManifestAs
6321,辣椒丛枝病,Phytoplasma capsici,呈“扫帚状”,Broom-shaped,存在症状,ManifestAs
6322,辣椒丛枝病,Phytoplasma capsici,茎杆带化,Stem banding,存在症状,ManifestAs
6323,辣椒丛枝病,Phytoplasma capsici,花序聚生,Inflorescence clusters,存在症状,ManifestAs
6324,辣椒丛枝病,Phytoplasma capsici,花器萎落,Flower wilting,存在症状,ManifestAs
6325,辣椒丛枝病,Phytoplasma capsici,叶片狭窄皱缩不平,"Narrow, wrinkled leaves",存在症状,ManifestAs
6326,辣椒丛枝病,Phytoplasma capsici,叶柄伸长,Petiole elongation,存在症状,ManifestAs
6327,辣椒丛枝病,Phytoplasma capsici,果枝短缩,Shortened fruit branches,存在症状,ManifestAs
6328,辣椒脐腐病,Blossom-end rot,水浸状病斑,Water-soaked lesions,存在症状,ManifestAs
6329,辣椒黑霉病,**alternaria solani**,果肉失水,Fruit pulp dehydration,存在症状,ManifestAs
6330,辣椒黑霉病,**alternaria solani**,果面收缩,Fruit surface shrinkage,存在症状,ManifestAs
6331,辣椒黑霉病,**alternaria solani**,绿黑色或黑色绒状霉,Green-black or black velvety mold,存在症状,ManifestAs
6332,辣椒污霉病,Pseudocercospora capsici,污褐色圆形至不规则形霉点,Dirty brown round to irregular mold spots,存在症状,ManifestAs
6333,辣椒污霉病,Pseudocercospora capsici,煤烟状物,Soot,存在症状,ManifestAs
6334,辣椒污霉病,Pseudocercospora capsici,黑色霉层,Black mold layer,存在症状,ManifestAs
6335,辣椒污霉病,Pseudocercospora capsici,病叶提早枯黄或脱落,Diseased leaves turn yellow or fall off prematurely,存在症状,ManifestAs
6336,辣椒叶霉病,Fulvia fulva,不规则形退绿斑块,Irregular chlorotic patches,存在症状,ManifestAs
6337,辣椒叶霉病,Fulvia fulva,浅白色霉层,Light white mold layer,存在症状,ManifestAs
6338,辣椒叶霉病,Fulvia fulva,浅黄色至黄色大斑,Light yellow to yellow spots,存在症状,ManifestAs
6339,辣椒叶霉病,Fulvia fulva,浅灰色至黑褐色绒毛状霉,Light grey to dark brown velvety mold,存在症状,ManifestAs
6340,辣椒叶霉病,Fulvia fulva,变黄干枯,Turn yellow and dry,存在症状,ManifestAs
6341,辣椒白粉病,Leveillula taurica,边缘不明显的黄斑,Blurred macular area,存在症状,ManifestAs
6342,辣椒白粉病,Leveillula taurica,白色的霉层,White mold layer,存在症状,ManifestAs
6343,辣椒白粉病,Leveillula taurica,三角形的白斑,Triangular white spots,存在症状,ManifestAs
6344,辣椒芽枝果腐病,Cladosporium capsici,褐色水浸状小斑点,Small brown water-soaked spots,存在症状,ManifestAs
6345,辣椒芽枝果腐病,Cladosporium capsici,呈湿状,Wet,存在症状,ManifestAs
6346,辣椒芽枝果腐病,Cladosporium capsici,病斑圆形或近圆形,Lesions are round or nearly round,存在症状,ManifestAs
6347,辣椒芽枝果腐病,Cladosporium capsici,至更大淡,To a greater,存在症状,ManifestAs
6348,辣椒芽枝果腐病,Cladosporium capsici,白色绒丝状霉层,White velvety mildew layer,存在症状,ManifestAs
6349,菠菜株腐病,Fusarium oxysporum,子叶开始萎蔫,The cotyledons begin to wilt,存在症状,ManifestAs
6350,菠菜株腐病,Fusarium oxysporum,叶片黄化,Yellowing of leaves,存在症状,ManifestAs
6351,菠菜株腐病,Fusarium oxysporum,椭圆形暗褐色病斑,Oval dark brown spots,存在症状,ManifestAs
6352,菠菜株腐病,Fusarium oxysporum,主根呈黑褐色腐烂,The taproot is dark brown and rotten,存在症状,ManifestAs
6353,菠菜病毒病,Cucumovirus,心叶叶脉退绿,Heart leaf veins turn green,存在症状,ManifestAs
6354,菠菜病毒病,Cucumovirus,黄色斑点,Yellow spots,存在症状,ManifestAs
6355,菠菜病毒病,Cucumovirus,不规则的深绿,Irregular dark green,存在症状,ManifestAs
6356,菠菜病毒病,Cucumovirus,叶片边缘向下卷,Leaf edges curled down,存在症状,ManifestAs
6357,菠菜病毒病,Cucumovirus,瘤状突起,Tumor-like protrusion,存在症状,ManifestAs
6358,菠菜病毒病,Cucumovirus,心叶卷缩,Heart leaf curling,存在症状,ManifestAs
6359,菠菜病毒病,Cucumovirus,坏死斑,Necrotic plaque,存在症状,ManifestAs
6360,菠菜病毒病,Cucumovirus,心叶坏死,Heart leaf necrosis,存在症状,ManifestAs
6361,菠菜矮花叶病,Cucumovirus,深绿与浅绿或黄色相间的花叶,Dark green and light green or yellow leaves,存在症状,ManifestAs
6362,菠菜矮花叶病,Cucumovirus,叶片变小,The leaves become smaller,存在症状,ManifestAs
6363,菠菜低温障碍,Chilling injury,叶缘变白,Whitening of leaf margins,存在症状,ManifestAs
6364,菠菜低温障碍,Chilling injury,呈薄纸状,Thin paper,存在症状,ManifestAs
6365,蝼蛄,Gryllotalpa,根部呈乱麻状,The roots are tangled,存在症状,ManifestAs
6366,蝼蛄,Gryllotalpa,缺苗断垄,Missing seedlings and broken ridges,存在症状,ManifestAs
6367,芹菜斑枯病,Septoria apiicola,淡黄色油浸状斑,Pale yellow oily spots,存在症状,ManifestAs
6368,芹菜斑枯病,Septoria apiicola,淡褐色或褐色,Light brown or brown,存在症状,ManifestAs
6369,芹菜斑枯病,Septoria apiicola,褐色干枯状,Brown dry,存在症状,ManifestAs
6370,芹菜斑枯病,Septoria apiicola,病斑均呈长圆形,The lesions are oblong,存在症状,ManifestAs
6371,芹菜斑枯病,Septoria apiicola,病斑边缘黄色,Yellow edge of lesion,存在症状,ManifestAs
6372,芹菜斑枯病,Septoria apiicola,病斑为褐色,The lesions are brown,存在症状,ManifestAs
6373,芹菜斑枯病,Septoria apiicola,长圆形稍凹陷,Oblong slightly concave,存在症状,ManifestAs
6374,芹菜早疫病,Septoria apiicola,黄绿色水渍状斑点,Yellow-green water-stained spots,存在症状,ManifestAs
6375,芹菜早疫病,Septoria apiicola,褐色或暗褐色,Brown or dark brown,存在症状,ManifestAs
6376,芹菜早疫病,Septoria apiicola,病斑稍圆,Slightly round lesions,存在症状,ManifestAs
6377,芹菜早疫病,Septoria apiicola,周缘黄色,Yellow periphery,存在症状,ManifestAs
6378,芹菜早疫病,Septoria apiicola,水渍状圆斑或条斑,Water-soaked round spots or stripes,存在症状,ManifestAs
6379,芹菜早疫病,Septoria apiicola,白色或紫色霉状物,White or purple mold,存在症状,ManifestAs
6380,芹菜黑斑病,Alternaria tenuissima,水渍状浅褐色色小斑点,Small water-stained light brown spots,存在症状,ManifestAs
6381,芹菜黑斑病,Alternaria tenuissima,近圆形坏死病斑,Nearly circular necrotic lesions,存在症状,ManifestAs
6382,芹菜黑斑病,Alternaria tenuissima,黄褐色至深褐色,Yellowish brown to dark brown,存在症状,ManifestAs
6383,芹菜黑斑病,Alternaria tenuissima,稀疏的黑霉,Sparse black mold,存在症状,ManifestAs
6384,芹菜立枯病,Rhizoctonia solani,茎收缩,Stem shrinkage,存在症状,ManifestAs
6385,芹菜黑腐病,Pseudomonas syringae,暗绿色至黑褐色,Dark green to dark brown,存在症状,ManifestAs
6386,芹菜灰霉病,Botrytis cinerea,病部软化,Softening of the affected area,存在症状,ManifestAs
6387,芹菜灰霉病,Botrytis cinerea,腐烂或萎蔫,Rotting or wilting,存在症状,ManifestAs
6388,芹菜灰霉病,Botrytis cinerea,灰色霉层,Gray mold layer,存在症状,ManifestAs
6389,芹菜菌核病,Sclerotinia sclerotiorum,暗绿色病斑,Dark green spots,存在症状,ManifestAs
6390,芹菜菌核病,Sclerotinia sclerotiorum,褐色水渍状,Brown water stain,存在症状,ManifestAs
6391,芹菜菌核病,Sclerotinia sclerotiorum,软腐或全株溃烂,Soft rot or whole plant rot,存在症状,ManifestAs
6392,芹菜菌核病,Sclerotinia sclerotiorum,鼠粪状菌核,Sclerotium,存在症状,ManifestAs
6393,芹菜软腐病,Pectobacterium carotovorum,水渍状纺锤形或不规则形凹陷病斑,Water-soaked spindle-shaped or irregular sunken lesions,存在症状,ManifestAs
6394,芹菜软腐病,Pectobacterium carotovorum,病斑呈黄褐色,The lesions are yellow-brown,存在症状,ManifestAs
6395,芹菜软腐病,Pectobacterium carotovorum,心叶腐烂坏死,Heart leaf rot and necrosis,存在症状,ManifestAs
6396,芹菜软腐病,Pectobacterium carotovorum,呈“烧心”状,Heartburn,存在症状,ManifestAs
6397,芹菜细菌叶枯病,Pseudomonas syringae,叶缘病斑水渍状,Water-soaked leaf spots,存在症状,ManifestAs
6398,芹菜细菌叶枯病,Pseudomonas syringae,叶片呈褐色枯死,Leaves turn brown and die,存在症状,ManifestAs
6399,芹菜根结线虫病,Meloidogyne,颜色不正常,Abnormal color,存在症状,ManifestAs
6400,芹菜根结线虫病,Meloidogyne,链珠状或葫芦状肿瘤,Bead-like or gourd-shaped tumors,存在症状,ManifestAs
6401,芹菜根结线虫病,Meloidogyne,乳白色至乳黄色,Milky white to creamy yellow,存在症状,ManifestAs
