entity,condition,relation
番茄(匍柄霉)斑点病,温暖高湿,适宜发生条件
番茄丝核菌果腐病,田间高温,适宜发生条件
番茄丝核菌果腐病,高湿,适宜发生条件
番茄筋腐病,低温,适宜发生条件
番茄筋腐病,多湿,适宜发生条件
番茄筋腐病,二氧化碳不足,适宜发生条件
番茄筋腐病,土壤湿度过大,适宜发生条件
番茄筋腐病,土壤潮湿,适宜发生条件
番茄炭疽病,地势低洼,适宜发生条件
番茄炭疽病,排水不良,适宜发生条件
番茄炭疽病,氮肥过多,适宜发生条件
番茄炭疽病,植株郁蔽,适宜发生条件
番茄炭疽病,通风不良,适宜发生条件
番茄根霉果腐病,温暖潮湿,适宜发生条件
番茄根霉果腐病,湿度大,适宜发生条件
番茄茎枯病,高湿多雨,适宜发生条件
番茄黑点根腐病,通风透光不好,适宜发生条件
番茄黑点根腐病,土壤黏重,适宜发生条件
番茄黑点根腐病,肥力不足,适宜发生条件
番茄黑点根腐病,耕作粗放,适宜发生条件
番茄黑点根腐病,排水不良,适宜发生条件
番茄黑点根腐病,土壤潮湿,适宜发生条件
番茄黑点根腐病,温暖,适宜发生条件
番茄黑点根腐病,高湿,适宜发生条件
番茄黑点根腐病,多雨,适宜发生条件
番茄黑点根腐病,日照不足,适宜发生条件
辣椒绵腐病,低温,适宜发生条件
辣椒绵腐病,高湿,适宜发生条件
辣椒绵腐病,光照不足,适宜发生条件
辣椒绵腐病,湿度偏大,适宜发生条件
辣椒褐腐病,低温高湿,适宜发生条件
辣椒褐腐病,日照不足,适宜发生条件
辣椒褐腐病,雨后积水,适宜发生条件
番茄茶色果和绿背果,土壤干燥,适宜发生条件
番茄网筋果,地温高,适宜发生条件
番茄网筋果,多肥,适宜发生条件
番茄网筋果,土壤过干,适宜发生条件
番茄网筋果,土壤粘重,适宜发生条件
番茄网筋果,土壤氮素多,适宜发生条件
辣椒斑枯病,高温高湿,适宜发生条件
辣椒白星病,高温,适宜发生条件
辣椒白星病,高湿,适宜发生条件
辣椒疫病,高温,适宜发生条件
辣椒疫病,高湿,适宜发生条件
辣椒疫病,种植过密,适宜发生条件
辣椒疫病,通风透光不良,适宜发生条件
辣椒灰霉病,低温,适宜发生条件
辣椒灰霉病,高湿,适宜发生条件
辣椒炭疽病,高温高湿,适宜发生条件
辣椒炭疽病,地势低洼,适宜发生条件
辣椒炭疽病,土质黏重,适宜发生条件
辣椒炭疽病,排水不良,适宜发生条件
辣椒炭疽病,施肥不足,适宜发生条件
辣椒炭疽病,氮肥过多,适宜发生条件
辣椒黑斑病,高湿多雨,适宜发生条件
辣椒黄化条斑病毒病,高温,适宜发生条件
辣椒苜蓿花叶病毒病,地势低洼,适宜发生条件
辣椒苜蓿花叶病毒病,积水,适宜发生条件
辣椒苜蓿花叶病毒病,土壤粘重,适宜发生条件
辣椒苜蓿花叶病毒病,管理粗放,适宜发生条件
辣椒苜蓿花叶病毒病,缺水,适宜发生条件
辣椒苜蓿花叶病毒病,干旱,适宜发生条件
辣椒黑霉病,温暖潮湿,适宜发生条件
辣椒黑霉病,田间管理粗放,适宜发生条件
辣椒叶霉病,浇水过多,适宜发生条件
辣椒叶霉病,管理粗放,适宜发生条件
辣椒叶霉病,通风不良,适宜发生条件
辣椒芽枝果腐病,适宜空气湿度为85%,适宜发生条件
芹菜斑枯病,浇水多,适宜发生条件
芹菜斑枯病,排水不良,适宜发生条件
芹菜斑枯病,田间积水,适宜发生条件
芹菜斑枯病,种植过密,适宜发生条件
芹菜斑枯病,土地贫瘠,适宜发生条件
芹菜早疫病,高温多雨,适宜发生条件
芹菜早疫病,高温干旱,适宜发生条件
芹菜早疫病,排水不良,适宜发生条件
芹菜早疫病,缺水缺肥,适宜发生条件
芹菜早疫病,灌水过多,适宜发生条件
芹菜早疫病,通风不良,适宜发生条件
芹菜黑腐病,多雨潮湿,适宜发生条件
芹菜菌核病,低温潮湿,适宜发生条件
芹菜根结线虫病,地势高燥,适宜发生条件
芹菜根结线虫病,土质中性沙质,适宜发生条件
芹菜叶斑病,高温多雨,适宜发生条件
芹菜叶斑病,高温干旱,适宜发生条件
芹菜叶斑病,大水漫灌,适宜发生条件
芹菜叶斑病,田间积水,适宜发生条件
芹菜叶斑病,排水不良,适宜发生条件
芹菜叶斑病,缺水缺肥,适宜发生条件
芹菜叶斑病,通风不良,适宜发生条件
野蛞蝓,潮湿,适宜发生条件
莴笋霜霉病,土壤潮湿,适宜发生条件
莴笋霜霉病,排水不良,适宜发生条件
莴笋灰霉病,相对湿度高于94%,适宜发生条件
莴笋菌核病,相对湿度高于85%,适宜发生条件
莴笋菌核病,湿度低于70%,适宜发生条件
莴笋菌核病,多雨,适宜发生条件
莴笋菌核病,通风透光条件差,适宜发生条件
莴笋菌核病,排水不良,适宜发生条件
莴笋叶焦病,土壤干燥,适宜发生条件
莴笋叶焦病,盐份浓度高,适宜发生条件
莴笋白粉病,通风不良,适宜发生条件
莴笋白粉病,氮肥偏多,适宜发生条件
莴笋病毒病,肥料不足,适宜发生条件
莴笋病毒病,管理粗放,适宜发生条件
莴笋黑斑病,温暖潮湿,适宜发生条件
莴笋锈病,多雨,适宜发生条件
莴笋锈病,气温低,适宜发生条件
莴笋锈病,肥料不足,适宜发生条件
莴笋腐败病,高温高湿,适宜发生条件
莴笋腐败病,地势低洼,适宜发生条件
莴笋叶缘坏死病,气温低,适宜发生条件
莴笋叶缘坏死病,湿度高湿,适宜发生条件
莴笋褐腐病,湿度大,适宜发生条件
生菜霜霉病,土壤潮湿,适宜发生条件
生菜霜霉病,排水不良,适宜发生条件
生菜轮纹病,温暖潮湿,适宜发生条件
生菜灰霉病,相对湿度高于94%,适宜发生条件
生菜菌核病,相对湿度高于85%,适宜发生条件
生菜菌核病,多雨,适宜发生条件
生菜菌核病,通风透光条件差,适宜发生条件
生菜菌核病,排水不良,适宜发生条件
生菜腐败病,高温高湿,适宜发生条件
生菜腐败病,地势低洼,适宜发生条件
生菜叶焦病,土壤干燥,适宜发生条件
生菜叶焦病,盐份浓度高,适宜发生条件
生菜病毒病,肥料不足,适宜发生条件
生菜病毒病,管理粗放,适宜发生条件
生菜褐腐病,湿度大,适宜发生条件
生菜褐腐病,过高过低,适宜发生条件
苋菜白锈病,阴雨连绵,适宜发生条件
苋菜白锈病,地势低洼,适宜发生条件
苋菜炭疽病,通风透光不好,适宜发生条件
苋菜斑点病,田间湿度大,适宜发生条件
苋菜黑斑病,高湿,适宜发生条件
苋菜黑斑病,多雨,适宜发生条件
蚯蚓,宜的土壤湿度为,适宜发生条件
落葵紫斑病,相对湿度,适宜发生条件
落葵炭疽病,湿度80%,适宜发生条件
落葵黑斑病,田间高湿,适宜发生条件
落葵灰霉病,低温高湿,适宜发生条件
落葵灰霉病,通风不良,适宜发生条件
落葵苗腐病,田地低洼积水,适宜发生条件
落葵苗腐病,湿度高,适宜发生条件
落葵苗腐病,密度大,适宜发生条件
落葵苗腐病,施氮肥多,适宜发生条件
落葵花叶病,高温少雨,适宜发生条件
落葵根结线虫病,相对湿度40%,适宜发生条件
落葵根结线虫病,其繁殖，,适宜发生条件
蕹菜白锈病,温暖潮湿,适宜发生条件
蕹菜灰霉病,低温高湿,适宜发生条件
蕹菜猝倒病,低温高湿,适宜发生条件
蕹菜菌核病,相对湿度高于85%,适宜发生条件
西葫芦绵疫病,通风透光不良,适宜发生条件
西葫芦褐色腐败病,高温多雨,适宜发生条件
西葫芦叶点病,高温,适宜发生条件
西葫芦叶点病,高湿,适宜发生条件
西葫芦叶点病,地势低洼,适宜发生条件
西葫芦叶点病,植物郁闭,适宜发生条件
西葫芦叶点病,通风不良,适宜发生条件
豌豆锈病,温暖潮湿,适宜发生条件
豌豆锈病,空气湿度85%,适宜发生条件
豌豆锈病,低洼积水,适宜发生条件
豌豆锈病,土质黏重,适宜发生条件
豌豆尖镰刀孢萎凋病,湿度过大,适宜发生条件
豌豆芽枯病,株间郁闭,适宜发生条件
豌豆芽枯病,田间湿度大,适宜发生条件
葡萄轮斑病,高温高湿,适宜发生条件
葡萄轮斑病,管理粗放,适宜发生条件
葡萄轮斑病,植株郁闭,适宜发生条件
葡萄轮斑病,通风透光差,适宜发生条件
葡萄灰斑病,多雨潮湿,适宜发生条件
葡萄灰斑病,冷凉,适宜发生条件
葡萄根朽病,雨后积水,适宜发生条件
葡萄蔓割病,多雨,适宜发生条件
葡萄蔓割病,潮湿,适宜发生条件
葡萄蔓割病,地势低洼,适宜发生条件
葡萄蔓割病,土质黏重,适宜发生条件
葡萄蔓割病,排水不良,适宜发生条件
葡萄蔓割病,土层薄,适宜发生条件
葡萄蔓割病,肥水不足,适宜发生条件
葡萄小褐斑病,田间湿度大,适宜发生条件
葡萄小褐斑病,管理粗放,适宜发生条件
葡萄褐斑病,浇水太多,适宜发生条件
葡萄褐斑病,田间湿度大,适宜发生条件
葡萄褐斑病,管理粗放,适宜发生条件
栗疫病,土壤肥力差,适宜发生条件
龙眼藻斑病,土壤贫瘠,适宜发生条件
龙眼藻斑病,通风不良,适宜发生条件
龙眼藻斑病,干旱或水涝,适宜发生条件
龙眼藻斑病,潮湿闷热,适宜发生条件
龙眼灰色叶枯病,高温多雨,适宜发生条件
龙眼根腐病,园因排水不畅,适宜发生条件
蕹菜根腐病,高温高湿,适宜发生条件
甜菜丛根病,沙土轻,适宜发生条件
甜菜苗腐病,地势低洼积水,适宜发生条件
甜菜苗腐病,田间湿度大,适宜发生条件
甜菜细菌性斑枯病,高温高湿,适宜发生条件
甜菜象甲,土质疏松,适宜发生条件
甜菜象甲,通透性良好,适宜发生条件
甜菜象甲,土温较高,适宜发生条件
茶饼病,湿度大,适宜发生条件
茶饼病,管理粗放,适宜发生条件
茶饼病,杂草多,适宜发生条件
茶饼病,施肥不当,适宜发生条件
茶网饼病,高湿,适宜发生条件
茶网饼病,高山多雾,适宜发生条件
茶网饼病,地势低洼,适宜发生条件
茶芽枯病,低温高湿,适宜发生条件
茶芽枯病,相对湿度高,适宜发生条件
茶圆赤星病,平原低洼,适宜发生条件
茶圆赤星病,潮湿,适宜发生条件
茶煤病,荫蔽潮湿,适宜发生条件
茶红锈藻病,保水性差,适宜发生条件
茶膏药病,土壤黏重,适宜发生条件
茶膏药病,排水不良,适宜发生条件
茶膏药病,荫蔽潮湿,适宜发生条件
茶膏药病,管理粗放,适宜发生条件
茶白星病,土壤贫瘠,适宜发生条件
茶白星病,管理不善,适宜发生条件
茶轮斑病,相对湿度85%,适宜发生条件
茶轮斑病,施肥不当,适宜发生条件
茶轮斑病,肥料不足,适宜发生条件
茶轮斑病,土壤板结,适宜发生条件
茶炭疽病,高温高湿,适宜发生条件
茶褐色叶斑病,适温高湿,适宜发生条件
茶藻斑病,荫蔽潮湿,适宜发生条件
茶藻斑病,通风透光不良,适宜发生条件
茶苗白绢病,土壤黏重,适宜发生条件
茶苗白绢病,土质偏酸,适宜发生条件
茶苗白绢病,排水不良,适宜发生条件
茶紫纹羽病,高温多湿,适宜发生条件
茶紫纹羽病,地势低洼,适宜发生条件
茶紫纹羽病,排水不良,适宜发生条件
茶紫纹羽病,土壤黏重或过干,适宜发生条件
茶发毛病,茶园茂密郁闭,适宜发生条件
茶发毛病,通风不良,适宜发生条件
茶线腐病,阴凉多湿,适宜发生条件
茶线腐病,日照短,适宜发生条件
茶线腐病,通风透光差,适宜发生条件
茶根癌病,地势低洼,适宜发生条件
茶根癌病,土壤湿度大,适宜发生条件
茶根癌病,土壤黏重,适宜发生条件
茶胴枯病,地势低洼,适宜发生条件
茶胴枯病,通风透光不良,适宜发生条件
茶枝黑痣病,茶园郁闭,适宜发生条件
茶枝黑痣病,排水不良,适宜发生条件
茶尺蠖,多雾多露,适宜发生条件
茶尺蠖,地势平坦,适宜发生条件
茶尺蠖,土壤湿润,适宜发生条件
茶黑毒蛾,高温干旱,适宜发生条件
茶蚕,高湿,适宜发生条件
茶蚕,凉爽,适宜发生条件
茶网蝽,相对湿度75%,适宜发生条件
茶二叉蚜,相对湿度70%,适宜发生条件
茶芽瘿蚊,日照较少阴凉,适宜发生条件
茶橙瘿螨,相对湿度70%,适宜发生条件
茶叶瘿螨,相对湿度70%,适宜发生条件
茶短须螨,高温,适宜发生条件
烟草炭疽病,阴雨连绵,适宜发生条件
烟草炭疽病,大水漫灌,适宜发生条件
烟草炭疽病,烟苗过密,适宜发生条件
烟草炭疽病,通风不良,适宜发生条件
烟草猝倒病,高湿,适宜发生条件
烟草猝倒病,烟苗过密,适宜发生条件
烟草猝倒病,土壤潮湿,适宜发生条件
烟草猝倒病,空气湿度大,适宜发生条件
烟草赤星病,田间荫蔽,适宜发生条件
烟草蛙眼病,地势低洼,适宜发生条件
烟草蛙眼病,通风透光不良,适宜发生条件
烟草根黑腐病,低温多雨,适宜发生条件
烟草白绢病,通风透光不良,适宜发生条件
烟草菌核病,烟田郁闭,适宜发生条件
烟草菌核病,排水不良,适宜发生条件
烟草低头黑病,高温多雨,适宜发生条件
烟草低头黑病,地势低洼,适宜发生条件
烟草低头黑病,排水不良,适宜发生条件
烟草灰霉病,低温高湿,适宜发生条件
烟草霜霉病,低温高湿,适宜发生条件
烟草霜霉病,低洼,适宜发生条件
烟草霜霉病,排水不良,适宜发生条件
烟草青枯病,高温,适宜发生条件
烟草青枯病,和高,适宜发生条件
烟草青枯病,土壤黏重,适宜发生条件
烟草青枯病,排水不良,适宜发生条件
烟草青枯病,湿度过高,适宜发生条件
烟草野火病,湿度过大,适宜发生条件
烟草角斑病,湿度过大,适宜发生条件
烟草空胫病,高温高湿,适宜发生条件
烟草普通花叶病毒病,气候干旱,适宜发生条件
烟草甜菜曲顶病毒病,低温低湿,适宜发生条件
烟草曲叶病毒病,高温干旱,适宜发生条件
烟草立枯病,地势低洼,适宜发生条件
烟草立枯病,土壤黏重,适宜发生条件
烟草黑胫病,高温高湿,适宜发生条件
烟草黑胫病,土壤黏重,适宜发生条件
烟草胞囊线虫病,湿度在60%,适宜发生条件
烟草气候斑点病,多雨,适宜发生条件
烟草气候斑点病,土壤水分含量高,适宜发生条件
烟草剑叶病,土壤潮湿,适宜发生条件
烟草剑叶病,通气性差,适宜发生条件
烟草剑叶病,排水不畅,适宜发生条件
烟草剑叶病,氮素缺少,适宜发生条件
烟草剑叶病,土壤结构不好,适宜发生条件
烟草剑叶病,整地粗糙,适宜发生条件
烟草剑叶病,排水不良,适宜发生条件
烟草蛀茎蛾,土壤湿度低,适宜发生条件
棉小造桥虫,相对湿度为75％～90%,适宜发生条件
烟草粉螟,间和相对湿度,适宜发生条件
花生黑斑病,田间湿度大,适宜发生条件
花生锈病,高温,适宜发生条件
花生锈病,高湿,适宜发生条件
花生锈病,通风透光不良,适宜发生条件
花生锈病,排水条件差,适宜发生条件
花生疮痂病,低温阴雨,适宜发生条件
花生冠腐病,高温多湿,适宜发生条件
花生冠腐病,管粗放理,适宜发生条件
花生立枯病,高温高湿,适宜发生条件
花生立枯病,排水条件差,适宜发生条件
花生立枯病,土壤湿度大,适宜发生条件
花生炭疽病,温暖高湿,适宜发生条件
花生焦斑病,高温高湿,适宜发生条件
花生焦斑病,田间湿度大,适宜发生条件
花生焦斑病,土壤贫瘠,适宜发生条件
花生焦斑病,偏施氮肥,适宜发生条件
花生茎腐病,低洼积水,适宜发生条件
花生茎腐病,沙性强,适宜发生条件
花生茎腐病,土壤贫瘠,适宜发生条件
花生根腐病,低温阴雨,适宜发生条件
花生根腐病,土壤湿度大,适宜发生条件
花生根腐病,通风透气不良,适宜发生条件
花生菌核病,高湿,适宜发生条件
花生白绢病,温暖高湿,适宜发生条件
花生白绢病,雨后骤停,适宜发生条件
花生白绢病,土壤粘重,适宜发生条件
花生白绢病,排水不良,适宜发生条件
花生白绢病,田间湿度大,适宜发生条件
花生青枯病,雨后骤晴,适宜发生条件
花生青枯病,有机质含量低,适宜发生条件
花生青枯病,排水不良,适宜发生条件
花生青枯病,保水保肥差,适宜发生条件
花生黄花叶病毒病,温度偏低,适宜发生条件
油菜黑胫病,高温,适宜发生条件
油菜黑胫病,高湿,适宜发生条件
油菜立枯病,高温,适宜发生条件
油菜立枯病,光照不足,适宜发生条件
油菜菌核病,地势低洼,适宜发生条件
油菜菌核病,排水不良,适宜发生条件
油菜菌核病,湿气滞留,适宜发生条件
油菜霜霉病,雨水少,适宜发生条件
油菜霜霉病,雨水多,适宜发生条件
油菜霜霉病,田间湿度大,适宜发生条件
油菜霜霉病,排水不良,适宜发生条件
油菜白锈病,雨日多,适宜发生条件
油菜白锈病,相对湿度高,适宜发生条件
油菜白锈病,时冷时暖,适宜发生条件
油菜白锈病,湿度较高,适宜发生条件
油菜炭疽病,高温,适宜发生条件
油菜炭疽病,高湿,适宜发生条件
油菜黑斑病,高温,适宜发生条件
油菜黑斑病,高湿,适宜发生条件
油菜黑斑病,高温多雨,适宜发生条件
油菜黑斑病,地势低洼,适宜发生条件
油菜白粉病,相对湿度25%～80%,适宜发生条件
油菜白粉病,时晴时雨,适宜发生条件
油菜白粉病,高温,适宜发生条件
油菜白粉病,高湿,适宜发生条件
油菜黑腐病,高温多雨,适宜发生条件
油菜黑腐病,地势低洼,适宜发生条件
油菜黑腐病,肥水管理不当,适宜发生条件
油菜软腐病,或高温高,适宜发生条件
油菜萎缩不实病,土壤碱性,适宜发生条件
甘蓝夜蛾,相对湿度70%,适宜发生条件
芝麻立枯病,土壤湿度大,适宜发生条件
芝麻茎点枯病,偏施氮肥,适宜发生条件
芝麻茎点枯病,土壤潮湿,适宜发生条件
芝麻枯萎病,土温高,适宜发生条件
芝麻枯萎病,湿度大,适宜发生条件
芝麻叶枯病,土壤高湿,适宜发生条件
芝麻叶斑病,多雨潮湿,适宜发生条件
芝麻白粉病,温暖多湿,适宜发生条件
芝麻褐斑病,空气湿度90%,适宜发生条件
三点盲蝽,左右，相对湿度,适宜发生条件
向日葵菌核病,地势低洼,适宜发生条件
向日葵菌核病,通风不良,适宜发生条件
向日葵叶枯病,通风透光不好,适宜发生条件
向日葵叶枯病,地势低洼积水,适宜发生条件
向日葵叶枯病,排水不良,适宜发生条件
向日葵叶枯病,土壤潮湿,适宜发生条件
向日葵叶枯病,低温,适宜发生条件
向日葵叶枯病,高湿,适宜发生条件
蓖麻锈病,高温,适宜发生条件
蓖麻锈病,高湿,适宜发生条件
蓖麻白绢病,高温多雨,适宜发生条件
蓖麻枯萎病,高温高湿,适宜发生条件
蓖麻枯萎病,地势低洼,适宜发生条件
蓖麻枯萎病,排水不良,适宜发生条件
蓖麻枯萎病,土壤黏重,适宜发生条件
甘蔗赤腐病,高温多湿,适宜发生条件
甘蔗凤梨病,高温潮湿,适宜发生条件
甘蔗黄斑病,高温,适宜发生条件
甘蔗黄斑病,高湿,适宜发生条件
甘蔗黄斑病,通风透光不良,适宜发生条件
甘蔗黄斑病,地下水位高,适宜发生条件
甘蔗虎斑病,通透不良,适宜发生条件
甘蔗轮斑病,高温高湿,适宜发生条件
甘蔗褐条病,水湿充足,适宜发生条件
甘蔗绵蚜,相对湿度70%,适宜发生条件
甜菜立枯病,土壤温度较低,适宜发生条件
甜菜立枯病,湿度大,适宜发生条件
甜菜立枯病,土壤酸性,适宜发生条件
甜菜立枯病,土质黏重,适宜发生条件
甜菜立枯病,土壤贫瘠,适宜发生条件
甜菜立枯病,排水不良,适宜发生条件
甜菜褐斑病,地势低洼,适宜发生条件
甜菜褐斑病,排水不良,适宜发生条件
甜菜白粉病,干旱少雨,适宜发生条件
甜菜白粉病,土壤干旱,适宜发生条件
甜菜白粉病,肥力不足,适宜发生条件
甜菜白粉病,氮肥过量,适宜发生条件
甜菜白粉病,土壤干旱缺水,适宜发生条件
棉红铃虫,高温,适宜发生条件
棉红铃虫,高湿,适宜发生条件
焦条丽夜蛾,降雨量大,适宜发生条件
棉红蝽,相对湿度为40％～80％,适宜发生条件
棉红蝽,相对湿度37％以上,适宜发生条件
棉根蚜,土壤潮湿,适宜发生条件
棉根蚜,通透性好,适宜发生条件
二斑叶螨,干旱少雨,适宜发生条件
油葫芦,土质疏松潮湿,适宜发生条件
亚麻斑点病,地势低洼,适宜发生条件
红麻、黄麻立枯病,阴雨多湿,适宜发生条件
红麻、黄麻立枯病,春季低温,适宜发生条件
红麻、黄麻立枯病,排水不良,适宜发生条件
红麻、黄麻立枯病,地势低洼,适宜发生条件
红麻炭疽病,地势低洼,适宜发生条件
红麻炭疽病,地下水位高,适宜发生条件
红麻斑点病,多雨高湿,适宜发生条件
红麻斑点病,低洼积水,适宜发生条件
红麻叶霉病,麻田低洼,适宜发生条件
黄麻细菌性斑点病,高温,适宜发生条件
黄麻细菌性斑点病,多湿,适宜发生条件
苎麻炭疽病,高温多雨,适宜发生条件
苎麻疫病,多雨高湿,适宜发生条件
苎麻茎腐病,麻株过密,适宜发生条件
苎麻茎腐病,麻地积水,适宜发生条件
苎麻茎腐病,田间湿度大,适宜发生条件
苎麻白纹羽病,土壤黏重,适宜发生条件
苎麻白纹羽病,板结,适宜发生条件
苎麻白纹羽病,低洼积水,适宜发生条件
苎麻白纹羽病,杂草多,适宜发生条件
苎麻白纹羽病,肥力不足,适宜发生条件
苎麻青枯病,高温多雨,适宜发生条件
苎麻青枯病,雨后骤晴,适宜发生条件
苎麻青枯病,地势低洼,适宜发生条件
苎麻青枯病,保水保肥力差,适宜发生条件
苎麻青枯病,有机质含量低,适宜发生条件
苎麻花叶病,偏施氮肥,适宜发生条件
苎麻花叶病,钾肥不足,适宜发生条件
苎麻花叶病,排水不良,适宜发生条件
苎麻花叶病,耕作粗放,适宜发生条件
大豆霜霉病,低温,适宜发生条件
大豆霜霉病,多雨,适宜发生条件
大豆霜霉病,土温低,适宜发生条件
大豆霜霉病,土壤湿度大,适宜发生条件
大豆枯萎病,高温多湿,适宜发生条件
大豆枯萎病,土质黏重,适宜发生条件
大豆枯萎病,土壤板结,适宜发生条件
大豆疫霉根腐病,地势低洼,适宜发生条件
大豆疫霉根腐病,土壤为黏土,适宜发生条件
大豆疫霉根腐病,排排水不良,适宜发生条件
大豆紫斑病,高温,适宜发生条件
大豆紫斑病,高湿,适宜发生条件
大豆紫斑病,通风透光不良,适宜发生条件
大豆灰斑病,田间杂草多,适宜发生条件
大豆灰斑病,植株郁蔽,适宜发生条件
大豆灰斑病,通风透光差,适宜发生条件
大豆褐斑病,温暖多雨,适宜发生条件
大豆褐斑病,通风透光不好,适宜发生条件
大豆褐斑病,排水不良,适宜发生条件
大豆立枯病,低温多雨,适宜发生条件
大豆立枯病,低洼积水,适宜发生条件
大豆立枯病,高温高湿,适宜发生条件
大豆立枯病,光照不足,适宜发生条件
大豆纹枯病,低温多雨,适宜发生条件
大豆纹枯病,低洼积水,适宜发生条件
大豆纹枯病,高温高湿,适宜发生条件
大豆纹枯病,光照不足,适宜发生条件
大豆黑痘病,多雨湿,适宜发生条件
大豆疫病,地势低洼,适宜发生条件
大豆疫病,土壤为黏土,适宜发生条件
大豆疫病,排排水不良,适宜发生条件
大豆炭疽病,高温多雨,适宜发生条件
大豆菌核病,相对湿度,适宜发生条件
大豆菌核病,通风透光不良,适宜发生条件
大豆茎枯病,高温高湿,适宜发生条件
大豆菟丝子,土温25℃,适宜发生条件
大豆菟丝子,土壤含水量15%,适宜发生条件
大豆菟丝子,相对湿度70%,适宜发生条件
大豆褐纹病,温暖多雨,适宜发生条件
大豆褐纹病,通风透光不好,适宜发生条件
大豆褐纹病,排水不良,适宜发生条件
大豆赤霉病,高温多雨,适宜发生条件
大豆赤霉病,湿度大,适宜发生条件
大豆根腐病,土壤黏重,适宜发生条件
大豆根腐病,排水不良,适宜发生条件
大豆灰星病,相对温度85%,适宜发生条件
大豆菌核疫病,潮湿,适宜发生条件
大豆菌核疫病,土壤湿度大,适宜发生条件
大豆菌核疫病,作物遮荫,适宜发生条件
大豆煤斑病,田间高湿,适宜发生条件
大豆煤斑病,高温,适宜发生条件
大豆煤斑病,多雨,适宜发生条件
斑须蝽,相对湿度80％,适宜发生条件
豆叶螨,干旱,适宜发生条件
豆叶螨,少雨,适宜发生条件
花生褐斑病,高温高湿,适宜发生条件
高粱大斑病,田间湿度大,适宜发生条件
高粱大斑病,排水不良,适宜发生条件
高粱大斑病,通风不良,适宜发生条件
高粱叶点病,高温高湿,适宜发生条件
高粱豹纹病,低洼高湿,适宜发生条件
高粱炭疽病,低洼高湿,适宜发生条件
高粱立枯病,地势低洼,适宜发生条件
高粱立枯病,土质黏重,适宜发生条件
高粱丝黑穗病,墒情不好,适宜发生条件
高粱坚黑穗病,湿度低,适宜发生条件
高粱镰刀菌穗腐病,低温高湿,适宜发生条件
高粱紫斑病,高温多雨,适宜发生条件
高粱纹枯病,地势低洼,适宜发生条件
高粱纹枯病,排水不良,适宜发生条件
高粱纹枯病,土壤湿度大,适宜发生条件
高粱紫轮病,高温潮湿,适宜发生条件
高粱苗枯病,昼暖夜凉,适宜发生条件
高粱苗枯病,植地低洼积水,适宜发生条件
高粱苗枯病,田间郁闭高湿,适宜发生条件
高粱黑束病,通风透光不好,适宜发生条件
高粱黑束病,排水不良,适宜发生条件
高粱黑束病,土壤潮湿,适宜发生条件
高粱黑束病,高温,适宜发生条件
高粱黑束病,高湿,适宜发生条件
高粱炭腐病,田间,适宜发生条件
高粱炭腐病,高温多湿,适宜发生条件
高粱炭腐病,地势低洼,适宜发生条件
高粱炭腐病,土壤湿度,适宜发生条件
高粱长粒黑穗病,土壤温度低,适宜发生条件
高粱细菌性条纹病,高温多雨,适宜发生条件
高粱细菌性条纹病,地势低洼,适宜发生条件
高粱细菌性条纹病,土壤板结,适宜发生条件
桃蛀野螟,多雨高湿,适宜发生条件
黏虫,多雨,适宜发生条件
粟白发病,地温低,适宜发生条件
粟白发病,湿度大,适宜发生条件
粟瘟病,日照不足,适宜发生条件
粟瘟病,通风透光不良,适宜发生条件
粟瘟病,田间湿度过高,适宜发生条件
粟瘟病,土壤湿,适宜发生条件
粟瘟病,土质粘重,适宜发生条件
粟瘟病,地势低洼,适宜发生条件
粟黑鞘病,土质贫瘠,适宜发生条件
粟黑鞘病,水肥不足,适宜发生条件
粟锈病,地势低洼,适宜发生条件
粟纹枯病,高温高湿,适宜发生条件
粟纹枯病,地势低洼,适宜发生条件
粟纹枯病,排水不良,适宜发生条件
粟纹枯病,土壤湿度大,适宜发生条件
粟粒线虫病,土壤黏重,适宜发生条件
粟粒线虫病,地势低洼,适宜发生条件
粟粒线虫病,土壤潮湿,适宜发生条件
粟苗枯病,地势低洼,适宜发生条件
粟苗枯病,排水不良,适宜发生条件
粟胡麻斑病,高温高湿,适宜发生条件
粟胡麻斑病,砂质,适宜发生条件
粟胡麻斑病,保肥性差,适宜发生条件
粟叶斑病,高温高湿,适宜发生条件
粟假黑斑病,土壤潮湿,适宜发生条件
粟假黑斑病,高温,适宜发生条件
粟假黑斑病,高湿,适宜发生条件
粟条点病,管理粗放,适宜发生条件
粟条点病,肥力不足,适宜发生条件
粟条点病,地势低洼,适宜发生条件
粟条点病,排水不良,适宜发生条件
粟条点病,土壤潮湿,适宜发生条件
粟条点病,干旱,适宜发生条件
粟条点病,重雾,适宜发生条件
粟条点病,重露,适宜发生条件
粟条点病,高湿,适宜发生条件
粟条点病,多雨,适宜发生条件
粟黑粉病,土壤过干,适宜发生条件
粟细菌性条斑病,管理粗放,适宜发生条件
粟细菌性条斑病,肥力不足,适宜发生条件
粟细菌性条斑病,地势低洼,适宜发生条件
粟细菌性条斑病,排水不良,适宜发生条件
粟细菌性条斑病,土壤潮湿,适宜发生条件
粟细菌性条斑病,干旱,适宜发生条件
粟细菌性条斑病,高湿,适宜发生条件
粟细菌性条斑病,多雨,适宜发生条件
甘薯黑斑病,地势低洼,适宜发生条件
甘薯黑斑病,土壤粘重,适宜发生条件
