entity,english
辣椒黑斑病,Pepper black fruit spot
辣椒黄化条斑病毒病,Sweet peper and Peper spotted wilt virus disease
辣椒苜蓿花叶病毒病,Sweet pepper and Pepper alfalfa mosaic virus disease
辣椒丛枝病,Pepper witches' broom
辣椒脐腐病,Pepper blossom end rot
辣椒黑霉病,Pepper black fruit mould
辣椒污霉病,Pepper Cladosporium grease (leaf)mold
辣椒叶霉病,Pepper leaf mold
辣椒白粉病,Pepper powdery milde
辣椒芽枝果腐病,Pepper Cladosporium fruit rot
菠菜根结线虫病,Spinach root knot nematode
菠菜株腐病,nan
菠菜病毒病,Spinach virus disease
菠菜矮花叶病,nan
菠菜低温障碍,nan
蝼蛄,mole criket and Pillbug
芹菜斑枯病,Celery late blight
芹菜早疫病,Celery early blight
芹菜黑斑病,Celery Alternaria leaf spot
芹菜立枯病,Celery Rhizoctonia rot
芹菜黑腐病,Celery black rot
芹菜灰霉病,Celery gray mold
芹菜菌核病,Celery stem rot
芹菜软腐病,Celery bacterial soft rot
芹菜细菌叶枯病,Celery bacterial leaf blight
芹菜根结线虫病,Celery root-knot nematode disease
芹菜心腐病,Celery heart rot
芹菜病毒病,Celery mosaic disease
芹菜黄萎病,Celery Fusarium wilt
芹菜叶斑病,Celery early blight
胡萝卜微管蚜,Celery aphid
莴笋霜霉病,Stem-cating lettuce frost mould disease
莴笋灰霉病,Stem-cating lettuce gray mold
莴笋菌核病,Stem-cating lettuce Sclerotinia disease
莴笋叶焦病,Stem-cating lettuce leaf are burnt and ill
莴笋轮纹病,nan
莴笋白粉病,Lettuce powdery mildew
莴笋病毒病,Stem-cating lettuce virus disease
莴笋褐斑病,Stem-cating lettuce Cercospora brown leaf spot
莴笋软腐病,Stem-cating lettuce bacterial soft rot
莴笋轮斑病,Lettuce Altemaria leaf spot
莴笋黑斑病,Stem-cating lettuce Stemphylium leaf spot
莴笋锈病,Lettuce rust
莴笋腐败病,Stem-cating lettuce bacterial leaf spot
莴笋叶缘坏死病,Stem-cating lettuce leaf reason decays disease
莴笋褐腐病,Stem-cating lettuce brown rot
莴苣冬夜蛾,lettuce noctuid
莴笋指管蚜,Taiwan lettuce aphid
生菜霜霉病,Asparagus lettuce and lettuce downy milde
生菜褐斑病,Asparagus lettuce and lettuce Cercospora brown leaf spot
生菜轮纹病,Asparagus lettuce and lettuce ship veins disease
生菜灰霉病,Head garden lettuce gray mold
生菜菌核病,Head garden lettuce Sclerotinia disease
生菜轮斑病,Asparagus lettuce and lettuce ship spot disease
生菜腐败病,Head garden lettuce bacterial leaf spot
生菜软腐病,Head garden lettuce bacterial soft rot
生菜叶焦病,Head garden lettuce leaf burnt and ill
生菜病毒病,Asparagus lettuce and lettuce mosaic
生菜褐腐病,Head garden lettuce brown rot
苋菜白锈病,Amaranth white rust
苋菜褐斑病,Amaranth Phyllosticta leaf spot
苋菜炭疽病,Amaranth anthracnose
苋菜病毒病,Amaranth virus disease
苋菜根结线虫病,Amaranth root－knot nematode disease
苋菜斑点病,Amaranth leaf mold
苋菜黑斑病,Amaranth black spot
苋菜灰霉病,Amaranth gray mold
苋菜幼苗猝倒病,Amaranth seedling damping off
蚯蚓,Earthworm
落葵紫斑病,Malabar spinach Ramularia leaf spot
落葵茎腐病,Malabar spinach stem rot
落葵圆斑病,Malabar spinach circular leaf spot
落葵炭疽病,Malabar spinach anthracnose
落葵叶斑病,Malabar spinach Diplodia leaf spot
落葵黑斑病,Malabar spinach Alternaria black leaf spot
落葵灰霉病,Malabar spinach gray mold
落葵苗腐病,Malabar spinach seeding rot
落葵蛇眼病,Malabar spinach Phyllosticta leaf spot
落葵花叶病,Malabar spinach mosaic disease
落葵叶点霉紫斑病,nan
落葵根结线虫病,Malabar spinach root?rot nematode disease
蕹菜轮斑病,Waterspinach Phyllosticta leaf spot
蕹菜白锈病,Waterspinach white rust
蕹菜褐斑病,Waterspinach leaf spot
蕹菜灰霉病,Waterspinach gray mold
蕹菜猝倒病,Water spinach damping off
蕹菜(柱盘孢)叶斑病,nan
蕹菜(茄匐柄霉)叶斑病,nan
蕹菜(帝纹尾孢)叶斑病,nan
蕹菜(球腔菌)褐斑病,nan
蕹菜菌核病,Water—spinach Sclerotinia
西葫芦绵疫病,Summer squash Phytophthora rot
西葫芦细菌性叶枯病,Summer squash bacterial leaf spot
西葫芦根霉果腐病,Summer squash Rhizopus rot
西葫芦褐色腐败病,nan
西葫芦叶枯病,Summer squash Alternaria spot
西葫芦叶点病,Summer squash Phyllosticta spot
西葫芦霜霉病,Summer squash downy mildew
西葫芦银叶病,Summer squash Silverleaf disease
豌豆锈病,Pea rust
豌豆灰霉病,Pea gray mold
豌豆菌核病,Pea Sclerotinia rot
豌豆根腐病,Pea root rot
豌豆病毒病,Pea wilt virus
豌豆根串珠霉根腐病,Pea Thielaviopsis root rot
豌豆黑斑病,Pea Ascochyta blight
豌豆尖镰刀孢萎凋病,Pea Fusarium wilt
豌豆芽枯病,Pea Choanephora rot
葡萄轮斑病,Grape verticil spot
葡萄灰斑病,Grape gray leaf spot
葡萄根朽病,Grape root rot
葡萄白纹羽病,Grape white root rot
葡萄轮纹病,Grape perennial canker
葡萄蔓割病,Grape deadarm
葡萄叶斑病,Grape Septoria leaf spot
葡萄小褐斑病,Grape Phaeoramularia spo
葡萄褐斑病,Grape Phaeoisariopsis spot
角斑古毒蛾,Red-spotted tussock moth
橘灰象甲,Citrus weevils
黑额光叶甲,nan
栗疫病,Chestnut blight
荔枝拟木蠹蛾,nan
龙眼鬼帚病,Longan witches' broom。
龙眼藻斑病,Longan algal
龙眼灰色叶枯病,Longan Phomopsis leaf spot
龙眼根腐病,Longan root rot
龙眼炭疽病,Longan anthracnose。
龙眼黑斑病,Longan black spot
蕹菜根腐病,Waterspinach Fusarium root rot
八点灰灯蛾,Grey mulberry hairy caterpillar
大菜粉蝶,Large white
菜叶蜂,Cabbage sawfly
短额负蝗,Brevis front grasshopper
菜潜蝇,Serpentine leafminer
甘蓝蚜,Cabbage aphid
黄狭条跳甲,Barley flea beetle
黄宽条跳甲,Broad flea beetle
油菜蚤跳甲,Cabbage flea beetle
小猿叶甲,Daikon leaf beetle
大猿叶甲,Cabbage leaf beetle
菜蝽,Cabbage bug
横纹菜蝽,Transverse striation stink bug
甘蓝黄叶病,Cabbage Fusarium wilt
甘蓝根肿病,Cabbage club root
萝卜地种蝇,Turnip root fly
毛尾地种蝇,Smaller turnip maggot
黄心乌黑腐病,Yellow heart cabbage black rot
黄心乌细菌性黑斑病,Yellow heart cabbage bacterial black spot
黄心乌软腐病,Yellow heart cabbage soft rot
黄心乌霜霉病,Yellow heart cabbage downy milde
黄心乌黑斑病,Yellow heart cabbage Alternaria leaf spot
黄心乌叶腐病,Yellow heart cabbage Rhizoctonia leaf rot
甘蓝霜霉病,Cabbage downy milde
甘蓝黑根病,Cabbage Rhizoctonia rot
甘蓝黑胫病,Cabbage black leg
甘蓝菌核病,Cabbage Sclerotinia disease
甘蓝猝倒病,Cabbage damping off
甘蓝软腐病,Cabbage bacterial soft rot
甘蓝黑腐病,Cabbage black rot
甘蓝灰霉病,Cabbage gray mold
甘蓝细菌性黑斑病,Cabbage bacterial black spot
甘蓝水肿病,Cabbage edema
甘蓝病毒病,Cabbage virus disease
甘蓝黑斑病,Cabbage Alternaria leaf spot
花椰菜软腐病,Cauliflower bacterial soft rot
花椰菜病毒病,cauliflower virus disease
花椰菜黑腐病,Cauliflower black rot
花椰菜细菌性黑斑病,Cauliflower bacterial black spot
花椰菜霜霉病,Cauliflower downy milde
花椰菜猝倒病,Cauliflower seedling damping off
花椰菜黑根病,Cauliflower Rhizoctonia rot
花椰菜黑斑病,Cauliflower black leaf spot
花椰菜褐斑病,Cauliflower Alternaria leaf spot
花椰菜菌核病,Cauliflower stem rot
花椰菜花球散花,Cauliflower ball-flower looseness
花椰菜毛花,Cauliflower lanatoside
花椰菜青花,Cauliflower sporophyll exceptional growth
花椰菜紫花,Cauliflower Purple ball-flower
花椰菜缺钼,Cauliflower molybdenum deficiency
花椰菜缺硼,Cauliflower boron deficiency
青花菜病毒病,Broccoli virus disease
青花菜角斑病,Broccoli angular leaf spot
青花菜冻害,Broccoli freezing injury
青花菜立枯病,Broccoli Rhizoctonia rot
青花菜猝倒病,Broccoli seedling damping off
青花菜叶霉病,Broccoli Cladosporium leaf mold
青花菜褐斑病,Broccoli Alternaria leaf spot
青花菜黑腐病,Broccoli black rot
青花菜菌核病,Broccoli stem rot
青花菜细菌性斑点病,Broccoli bacterial leafspot
青花菜茎瘤病,Broccoli stem gall
青花菜叶腐病,nan
青花菜焦蕾和黄化,Broccoli button burn and yellows
青花菜不良花球,Broccoli undesirable ball-flower
青花菜夹叶花球,Broccoli sporophyll exceptional growth
青花菜散形花球,Broccoli ball-flower looseness
青花菜叶梗开裂,nan
紫甘蓝黑腐病,Purple Cabbage black rot
紫甘蓝软腐病,Purple Cabbage bacterial soft rot
紫甘蓝菌核病,Purple Cabbage Sclerotinia disease
紫甘蓝裂球,Purple Cabbage crackin gcore
紫甘蓝干烧心病,Purple Cabbage heart rot
芥蓝病毒病,Kailan virus disease
菠菜叶斑病,Spinach Cercospora leaf spot
菠菜白锈病,Spinach white rust
芹菜细菌叶斑病,"Celery bacterial leaf spot
"
芥蓝黑腐病,Kailan black rot
芥蓝软腐病,Kailan soft rot
芥蓝黑斑病,Kailan Black Spot
芥蓝霜霉病,Kailan downy mildew
芥蓝菌核病,Kailan stalk break
菠菜霜霉病,Spinach downy milde
菠菜灰霉病,Spinach gray mold
菠菜猝倒病,Spinach damping off
菠菜心腐病,Spinach heart rot
菠菜炭疽病,Spinach anthracnose
菠菜斑点病,Spinach leaf mold
菠菜枯萎病,Spinach Fusarium wilt
菠菜茎枯病,nan
菠菜叶点病,Spinach Phyllosticta leaf spot
菠菜污霉病,nan
菠菜黑斑病,Spinach Alternaria leaf spot
牛蒡长管蚜,burdock long-homed aphid
金针虫,nan
姜眼斑病,Ginger eye spot
姜纹枯病,Ginger summer blight
姜软腐病,Ginger soft rot
芋轮斑病,Taro target spot
山药镰刀菌枯萎病,nan
山药根腐病,Chinese yam Fusarium root rot
姜瘟病,Ginger blast
姜叶枯病,Ginger leaf spot
姜斑点病,Ginger leaf spot
姜炭疽病,Ginger Colletotrichum leaf spot
姜腐霉病,Ginger root rot
姜腐烂病,Ginger blast
姜花叶病毒病,Ginger mosaic
姜细菌软腐病,Ginger bacterial soft rot
姜细菌性叶斑病,Ginger bacterial leafspot
姜弄蝶,nan
芋疫病,Taro Phytophthora blight
芋污斑病,Taro leaf mold
芋软腐病,Dasheen bacterial soft rot
芋枯萎病,Taro Fusarium wilt
芋灰斑病,Taro Cercospora leaf spot
芋炭疽病,Dasheen anthracnose
芋黄萎病,Taro Verticillium Wilt
芋黑斑病,Taro Alternaria black spot
芋叶疫病,Taro leaf blight
芋细菌性斑点病,Taro bacterial spot disease
芋蝗,Dasheen grasshopper
山药褐斑病,Chinese yam Phyllosticta leafspot
山药炭疽病,Chinese yam leaf spot
山药斑纹病,Chinese yam Cylindrosporium leaf spot
山药斑枯病,Chinese yam Septoria leaf spot
山药红斑病,Yam red spot
山药褐腐病,Yam brown rot
山药灰斑病,Chinese yam Cercospora leafspot
山药青霉软腐病,Chinese yam Penicillium soft rot
菊芋白粉病,Topinamber powdery mildew
菊芋斑枯病,Topinamber spot blight
菊芋褐斑病,Topinamber Cercospora brown spot
葱锈病,Onion rust
葱霜霉病,Onion downy milde
葱灰霉病,Onion gray mold
葱白腐病,Onion white rot
葱褐斑病,Onion Mycosphaerella blight
葱紫斑病,Onion Alternaria leaf spot
葱白色疫病,Onion white tip
葱疫病,Onion Phytophthora blight
葱黑斑病,Onion leaf blight
葱小菌核病,Onion Sclerotinia rot
葱地种蝇,Onion fly
葱须鳞蛾,nan
葱蓟马,Onion thrips
大蒜紫斑病,Garlic Alternaria leaf spot
大蒜叶枯病,Garlic tip blight
大蒜锈病,Garlic rust
大蒜白腐病,Garlic white rot
大蒜疫病,Garlic Phytophthora blight
大蒜软腐病,Garlic bacterial soft rot
大蒜病毒病,Garlic virus disease
大蒜干腐病,Garlic Fusarium basal rot
大蒜红根腐病,Garlic red thoroughly stale disease
大蒜煤斑病,Garlic Cladosporium blight
大蒜灰叶斑病,Garlic grey leaf spot
大蒜叶疫病,Garlic leaf blight
大蒜灰霉病,Garlic gray mold
大蒜红腐病,Garlic Fusarium rot
大蒜黑头病,nan
大蒜花叶病,Garlic virus disease
大蒜青霉病,nan
大蒜黑粉病,nan
大蒜曲霉病,nan
大蒜褪绿条斑病毒病,nan
大蒜黄叶和干尖,nan
葱斑潜蝇,Onion leafminer
葱黄寡毛跳甲,Onion flea bettle
韭菜灰霉病,Chinese chives gray mold
韭菜疫病,Chinese chives Phytophthora blight
韭菜锈病,Chinese chives rust
韭菜软腐病,Chinese chives bacterial soft rot
韭菜菌核病,Chinese chives white rot
韭菜茎枯病,nan
韭菜白绢病,chinese chives Sclerotium blight
韭菜黑斑病,Leek blight
韭菜病毒病,chinese chives virus
韭菜黄叶和干尖,nan
种蝇,Seed maggot
大白菜黑腐病,Chinese cabbage black rot
大白菜软腐病,Chinese cabbage soft rot
大白菜病毒病,Chinese cabbage virus disease
大白菜褐斑病,Chinese cabbage brown spot
大白菜猝倒病,Chinese cabbage damping off
大白菜细菌性褐斑病,Cabbage bacterial brown spot
大白菜细菌性角斑病,Chinese cabbage bacterial angular leaf spot
大白菜细菌性叶斑病,Chinese cabbage bacterial leaf spot
大白菜细菌性黑斑病,Chinese cabbage bacterial black spot
大白菜干烧心病,nan
大白菜黄叶病,Chinese cabbage yellows
青菜细菌性角斑病,Mock pad-choi bacterial angular leaf spot
青菜尻腐病,Mock pad-choi bottom rot
青菜黑胫病,Mock pad-choi black leg
青菜黄叶病,Mock pad-choi yellows
青菜病毒病,Mock pad-choi virus disease
青菜黑腐病,Mock pad-choi black rot
青菜软腐病,Mock pad-choi soft rot
青菜猝倒病,Mock pad-choi damping off
青菜白粉病,Mock pad-choi powdery milde
青菜白斑病,Mock pad-choi Cercosporella leaf spot
青菜褐斑病,Mock pad-choi brown spot
青菜霜霉病,Mock pad-choi downy milde
青菜白锈病,Mock pad-choi white rust
青菜假黑斑病,Mock pad-choi black spot
青菜黑斑病,Mock pad-choi Alternaria leaf spot
青菜炭疽病,Mock pad-choi anthracnose
青菜绵腐病,Mock pad-choi Pythium rot
青菜菌核病,Mock pad-choi Sclerotinia rot
稻绿蝽,Rice green stink bug
非洲蝼蛄,nan
稻棘缘蝽,Rice spiny coreid
桑里白粉病,Mulberry powdery mildew
桑污叶病,nan
桑叶枯病,nan
桑褐斑病,Mulberry brown leaf spot
桑炭疽病,Mulberry anthracnose
桑芽枯病,nan
桑拟干枯病,nan
桑断梢病,nan
桑白绢病,Mulberry Sclerotium blight
桑膏药,nan
桑紫纹羽病,Mulberry purple root rot
桑青枯病,Mulberry bacterial wilt
桑细菌性疫病,Mulberry Bacterial Blight
桑萎缩型萎缩病,mulberry common dwarf diseases
桑花叶型萎缩病,nan
桑黄化型萎缩病,mulberry yellow dwarf disease
桑根结线虫病,Mulberry root knot nematode
桑赤锈病,Mulberry red rust
桑椹菌核病,Mulberry Sorosis
桑花叶病,Mulberry mosaic
桑灰霉病,Mulberry gray mold
桑干枯病,nan
桑白纹羽病,Mulberry white root rot
桑丝叶病毒病,nan
桑尺蠖,nan
春尺蠖,nan
桑白毛虫,Large dagger moth
桑蓑蛾,nan
野蚕,ild silkworm
桑蟥,Mulberry white caterpillar
桑螟,Mulberry pyralid
桑蛀虫,nan
桑叶蝉,nan
拟菱纹叶蝉,nan
桑蓟马,nan
桑粉虱,Mulberry whitefly
桑虱,Bayberry whitefly
桑木虱,Mulberry psylla
桑象甲,Mulberry smallweevil
桑梢小蠹虫,mulberry bark beetle
桑橙瘿蚊,nan
桑吸浆虫,nan
桑根瘿蚊,nan
桑天牛,Mulberry longicorn
人纹污灯蛾,White tiger moth
黄卷叶蛾,currant twist moth
桑黄迷萤叶甲,nan
蓝尾迷萤叶甲,nan
桑小灰象虫,nan
桑虎天牛,nan
桑粉蚧,Comstock mealy bug
龟蜡蚧,Japanese wax Scale
凹缘菱纹叶蝉,nan
侧多食跗线螨,Broad mite
神泽氏叶螨,nan
桑始叶螨,nan
萝卜霜霉病,Radish downy milde
萝卜黑斑病,Radish Alternaria leaf spot
萝卜白斑病,Radish Cercosporella leaf spot
萝卜白锈病,Radish white rust
萝卜黑腐病,Radish black rot
萝卜细菌性角斑病,Radish bacterial angular leaf spot
萝卜软腐病,Radish bacterial soft rot
萝卜病毒病,Radish virus disease
萝卜糠心,Radish pithiness
萝卜炭疽病,Radish anthracnose
萝卜黑根病,Radish black root
萝卜拟黑斑病,Radish Alternaria leaf spot
萝卜根肿病,Radish clubroot
萝卜黄叶病,Radish yellow
萝卜根结线虫病,Radish root－rot nematode disease
萝卜肉质根开裂,nan
萝卜褐腐病,nan
黑缝油菜叶甲,Rape leaf beetle
东方菜粉蝶,Indian cabbage white
胡萝卜褐斑病,nan
胡萝卜黑腐病,Carrot Alternaria black rot
胡萝卜黑斑病,Carrot leaf blight
胡萝卜软腐病,Carrot soft rot
胡萝卜斑点病,nan
胡萝卜根霉软腐病,nan
胡萝卜菌核病,Carrot Sclerotinia
胡萝卜白绢病,Carrot southern blight
胡萝卜灰霉病,Carrot gray mold
胡萝卜根链格孢黑斑病,nan
胡萝卜细菌性疫病,nan
胡萝卜花叶病,Carrot mosaic disease
胡萝卜根结线虫病,Carrot root knot nematode
胡萝卜异形根,nan
马铃薯早疫病,Potato early blight
马铃薯晚疫病,Potato late blight
马铃薯疮痂病,Potato scab
马铃薯癌肿病,Potato wart 
马铃薯干腐病,Potato dry rot
马铃薯白绢病,Potato southern blight
马铃薯黑胫病,Potato black leg
马铃薯青枯病,Potato brown rot
马铃薯环腐病,Potato ring rot
马铃薯病毒病,Potato virus disease
马铃薯粉痂病,Potato powdery scab
马铃薯茎基腐病,Potato Rhizoctonia rot
马铃薯软腐病,Potato Rhizopus soft rot
马铃薯早死病,Potato early death
马铃薯小叶病,Potato leaflet stunt
马铃薯根腐线虫病,Potato lesion nematode
马铃薯二十八星瓢虫,twenty-eight-spotted ladybird，Potato lady beetle
笨蝗,nan
牛蒡白粉病,Burdock powdery mildew
牛蒡黑斑病,Burdock Alternaria leafspot
黄胫小车蝗,nan
牛蒡轮纹病,Burdock Ascochyta leafspot
牛蒡花叶病,Burdock mosaic disease
牛蒡敌敌畏药害,Burdock DDV injury
甜菜根腐病,Beet root rot
甜菜蛇眼病,Beet phoma leaf spot
甜菜花叶病毒病,Beet mosaic virus
甜菜黄化病毒病,Beet yellows virus
甜菜丛根病,Beet rhizomania
甜菜根结线虫病,Beet root knot nematode
甜菜苗腐病,Sugar beet seedling blight
甜菜叶斑病,Downy mildew of beet
甜菜细菌性斑枯病,Sugar beet bacterial leaf  blight
甜菜白带野螟,Hawaiian beet webworm
甜菜象甲,Beet weevil
甜菜跳甲,Mangold flea beetle
甜菜大龟甲,Tortoise beetle beet
甜菜潜叶蝇,Mangold fly
黄草地螟,nan
茶饼病,Tea blister blight
茶网饼病,Tea exobasidium blight
茶芽枯病,Tea bud blight
茶圆赤星病,Tea red scab
茶煤病,Tea Neocapnodium sooty mould
茶红锈藻病,Tea red rust
茶膏药病,Tea velvet blight
茶白星病,Tea white scab
茶云纹叶枯病,Tea leaf blight
茶轮斑病,Tea ring rot
茶炭疽病,Tea anthracnose
茶赤叶斑病,Tea red leaf spot
茶褐色叶斑病,Tea brown leaf spot
茶藻斑病,Tea algae leaf spot
茶枝梢黑点病,nan
茶苗白绢病,Tea seedling blight
茶紫纹羽病,Tea purple root rot
茶发毛病,nan
茶线腐病,Tea Epiphytic thread blight
茶树苔藓、地衣,Moss and lichen of tea
茶根癌病,Tea seedling crown gall
茶苗根结线虫病,Tea root knot nematode
茶菟丝子,Tea dodder
茶胴枯病,Tea macrophoma stem blight
茶枝黑痣病,Tea black naevus
桑寄生,Loranthus
茶红根腐病,Tea red root rot
茶尺蠖,Tea geometrid
茶毛虫,Tea tussock moth
茶长卷叶蛾,Oriental tea tortrix
茶小卷叶蛾,Pear tussock moth
茶褐蓑蛾,nan
茶小蓑蛾,nan
丽绿刺蛾,Blue-striped，nettle-grub
奕刺蛾,nan
茶黑毒蛾,nan
茶斑蛾,nan
云尺蠖,nan
茶白毒蛾,nan
茶蚕,Tea bunch caterpillar
茶银尺蠖,nan
假眼小绿叶蝉,Smaller green leafhopper
棉叶蝉,Cotton leafhopper
碧蛾蜡蝉,Green broad-winged planthopper
茶网蝽,nan
茶角盲蝽,nan
油茶宽盾蝽,nan
茶二叉蚜,nan
桔黄粉虱,nan
长白蚧,nan
椰圆蚧,Coconut scale
茶梨蚧,tea white scale
茶牡蛎蚧,Oystershell Scale
蛇眼蚧,Camphor Scale
青蛾蜡蝉,nan
可可广翅蜡蝉,Cocoa planthoppel‘
圆纹宽广蜡蝉,nan
茶芽瘿蚊,Contarinia sp
茶枝镰蛾,nan
茶材小蠹,Tea shot-hole borer
茶天牛,nan
茶红颈天牛,nan
茶角胸叶甲,Basilepta melanopus Lefevre
茶丽纹象甲,Cotton leafworm
大灰象甲,Big gourdshaped weevil
茶橙瘿螨,Pink tea rust mite
茶叶瘿螨,Purple tea mite
侧多食附线螨,Broad mite
茶红螨,Tea red spider mite
茶短须螨,Privet mite
茶棍蓟马,nan
茶黄蓟马,yellow tea thrips
咖啡小爪螨,coffee red spider mite
烟草炭疽病,Tobacco anthracnose
烟草猝倒病,Tobacoo damping-off
烟草赤星病,Tobacco brown spot
烟草蛙眼病,Tobacco frog eye
烟草白粉病,Tobacco powdery milde
烟草根黑腐病,Tobacco black shank
烟草破烂叶斑病,Tobacco ragged leaf spot
烟草白绢病,Tobacco southern stem and root rot
烟草菌核病,Tobacco sclerotinia rot
烟草煤污病,Tobacco black death
烟草低头黑病,Tobacco black death
烟草灰霉病,Tobacco gray mold
烟草枯萎病,Tobacco fusarium wilt
烟草斑点病,Tobacoo phyllosticta leaf spot
烟草霜霉病,Tobacco blue mold
烟草青枯病,Tobacco bacterial wilt
烟草野火病,Tobacco wild fire
烟草角斑病,Tobacco angular Spot
烟草空胫病,Tobacco hollow stalk
烟草马铃薯Y病毒病,Tobacco potato virus Y
烟草蚀纹病毒病,Tobacco etch virus
烟草环斑病毒病,Tobacco ring spot virus
烟草普通花叶病毒病,Tobacco mosaic virus
烟草黄瓜花叶病毒病,Tobacco cucumber mosaic virus
烟草甜菜曲顶病毒病,Tobacco curly stop virus
烟草马铃薯X病毒病,Potato virus X
烟草坏死病毒病,Tobacco necrosis virus
烟草曲叶病毒病,Tobacco leaf curl spot virus
烟草立枯病,Tobacco soreshin
烟草黑胫病,Tobacoo balack shank
烟草番茄斑萎病毒病,Tobacco tomato spotted wilt virus
烟草丛枝病,Witches broom of tobacco
烟草根结线虫病,Tobacco root knot nematode
烟草胞囊线虫病,Tobacco cyst nematode
烟草气候斑点病,Tobacco weather fleck
烟草剑叶病,Tobacco frenching
烟草根褐腐线虫病,nan
列当,Skyblue Broomrape
菟丝子,China Dodder
烟实夜蛾,Tobacco budworm
烟草潜叶蛾,Tobacco splitworm
烟草蛀茎蛾,Tobacco stem borer
棉小造桥虫,Yellow cotton moth
棉褐带卷蛾,Smaller apple leaf roller
旋花天蛾,Sweetpotato hornworm
芝麻天蛾,  Death’s head moth
烟草粉螟,Ephestia elutella
烟田大灰象,Big gourdshaped weevil
棉蝗,Catton locust
中华稻蝗,Rice grasshopper
花生黑斑病,Peanut Black spot
花生锈病,Peanut rust
花生疮痂病,Peanut scab
花生冠腐病,Peanut crown rot
花生立枯病,Peanut Rhizoctonia rot 
花生炭疽病,Peanut anthracnose
花生焦斑病,Peanut pepper spot and leaf scorch
花生茎腐病,Peanut stem rot
花生根腐病,Peanut root rot
花生灰霉病,Peanut gray mold
花生菌核病,Peanut Sclertiniose
花生白绢病,Peanut Sclerotium blight
花生紫纹羽病,Peanut purple root rot
花生网斑病,Peanut web blotch
花生青枯病,Peanut Bacterial wilt
花生丛枝病,Peanut rosette
花生条纹病毒病,Peanut stripe
花生黄花叶病毒病,nan
花生普通花叶病,nan
花生芽枯病毒病,nan
花生根结线虫病,Peanut root knot nematode
花生缺素症,nan
花生蚜,Bean aphid
花生蚀叶野螟,nan
油菜黑胫病,Rape black stem rot
油菜猝倒病,Rape damping-off
油菜立枯病,Rape root rot
油菜菌核病,Rape Sclertiniose
油菜霜霉病,Rape downy mildew
油菜白锈病,Rape white rust
油菜白斑病,Rape White Spot
油菜炭疽病,Rape anthracnose
油菜黑斑病,Rape alternaria leaf spot
油菜白粉病,Rape powdery mildew
油菜枯萎病,Rape Fusarium wilt
油菜根肿病,Rape club root
油菜黑腐病,Rape black rot
油菜软腐病,Rape bacterial soft rot
油菜细菌性黑斑病,Rape bacterial black spot
油菜病毒病,Rape viral diseases
油菜萎缩不实病,Rape atrophied barren
油菜冻害,Rape freeze injury
云斑粉蝶,nan
黑纹粉蝶,striated white butterfly
芝麻立枯病,Sesame soreshin
芝麻茎点枯病,Sesame stem blight
芝麻疫病,Phytophthora blight of sesame
芝麻枯萎病,Sesame wilt disease
芝麻叶枯病,Sesame leaf blight
芝麻叶斑病,Sesame leaf spot
芝麻白粉病,Sesame powdery mildew
芝麻黑斑病,Sesame black spot
芝麻轮纹病,Sesame ring spot
芝麻褐斑病,Soybean brown spot
芝麻青枯病,Sesame bacterial wilt
芝麻荚野螟,simsim webworm
芝麻细菌性角斑病,Sesame angular leaf spot
芝麻黄花叶病,Sesame yellow mosaic disease
芝麻变叶病,Sesame phyllody
芝麻普通花叶病,Sesame common mosaic virus
向日葵菌核病,Sunflower Sclertiniose
向日葵锈病,Sunflower Rust
向日葵叶枯病,Sunflower leaf blight
向日葵黑斑病,Sunflower Alternaria black spot
向日葵列当,Sunflower broomrape
向日葵斑螟,nan
蒙古灰象甲,Mongolian gray weevil
蓖麻炭疽病,nan
蓖麻锈病,nan
蓖麻灰斑病,nan
蓖麻白绢病,nan
蓖麻黑斑病,nan
蓖麻枯萎病,nan
蓖麻疫病,nan
蓖麻斑点病,nan
蓖麻细菌性叶斑病,nan
蓖麻四星尺蛾,nan
甘蔗赤腐病,Sugarcane red rot
甘蔗凤梨病,Sugarcane pineapple
甘蔗黑穗病,Sugarcane smut
甘蔗黄斑病,Sugarcane yellow spot
甘蔗眼斑病,Sugarcane eye spot
甘蔗梢腐病,Sugarcane pokkah boeng
甘蔗锈病,Sugarcane rust
甘蔗虎斑病,Sugarcane Rhizoctonia sheath and shoot rot
甘蔗轮斑病,Sugarcane ring spot
甘蔗霜霉病,Downy mildew of sugarcane
甘蔗褐条病,Sugarcane brown stripe
甘蔗白条病,Sugarcane leaf scald
甘蔗花叶病,Sugarcane mosaic
甘蔗宿根矮化病,Sugarcane Ratoon Stunting Disease
甘蔗褪绿条纹病,Sugarcane chlorosis
甘蔗线虫病,Sugarcane nematode
甘蔗叶萎病,Sugarcane leaf blight
甘蔗白叶病,sugarcane white leaf disease
甘蔗白螟,nan
条螟,striped sorghum borer
粟灰螟,Millet borer
甘蔗蓟马,Sugarcane thrips
高粱蚜,Sorghum aphid
甘蔗长蝽,Oriental chinch bug
甘蔗扁角飞虱,Sugarcane leafhopper
突背蔗龟,Black sugarcane beetle
甘蔗二点螟,Millet borer
大螟,Pink borer
食根缘齿天牛,nan
甘蔗绵蚜,sugarcane cottony aphid
甘蔗红粉蚧,pink sugarcane mealybug，sugarcane mealybug
甘蔗灰粉蚧,nan
甜菜立枯病,nan
甜菜褐斑病,Beet sercospora leaf spot
甜菜霜霉病,Downy mildew of beet
甜菜白粉病,Beet powdery mildew
